OBJECTID,ZIP_CODE,AdminOffice
524,94709,CH
525,94710,CH
526,94720,CH
527,94801,CH
528,94803,CH
529,94804,CH
530,94805,CH
531,94806,CH
532,00017,DF
533,00020,DF
534,00026,DF
535,00040,DF
536,00058,DF
537,93201,DF
538,93202,DF
539,93204,DF
540,93207,DF
541,93208,DF
542,93210,DF
543,93212,DF
544,93218,DF
545,93219,DF
546,93221,DF
547,93223,DF
548,93230,DF
549,93234,DF
550,93235,DF
551,93239,DF
552,93242,DF
553,93244,DF
554,93245,DF
555,93246,DF
556,93247,DF
557,93256,DF
558,93257,DF
559,93260,DF
560,93262,DF
561,93265,DF
562,93266,DF
563,93267,DF
564,93270,DF
565,93271,DF
566,93272,DF
567,93274,DF
568,93277,DF
569,93286,DF
570,93291,DF
571,93292,DF
572,93601,DF
573,93602,DF
574,93603,DF
575,93604,DF
576,93606,DF
577,93608,DF
578,93609,DF
579,93610,DF
580,93611,DF
581,93612,DF
582,93614,DF
583,93615,DF
584,93616,DF
585,93618,DF
586,93619,DF
587,93620,DF
588,93621,DF
589,93622,DF
590,93623,DF
591,93624,DF
592,93625,DF
593,93626,DF
594,93627,DF
595,93628,DF
596,93630,DF
597,93631,DF
598,93633,DF
599,93634,DF
600,93635,DF
601,93636,DF
602,93637,DF
603,93638,DF
604,93640,DF
605,93641,DF
606,93643,DF
607,93644,DF
608,93645,DF
609,93646,DF
610,93647,DF
611,93648,DF
612,93650,DF
613,93651,DF
614,93652,DF
615,93653,DF
616,93654,DF
617,93656,DF
618,93657,DF
619,93660,DF
620,93662,DF
621,93664,DF
622,93666,DF
623,93667,DF
624,93668,DF
625,93669,DF
626,93673,DF
627,93675,DF
628,93701,DF
629,93702,DF
630,93703,DF
631,93704,DF
632,93705,DF
633,93706,DF
634,93710,DF
635,93711,DF
636,93720,DF
637,93721,DF
638,93722,DF
639,93723,DF
640,93725,DF
641,93726,DF
642,93727,DF
643,93728,DF
644,93730,DF
645,93737,DF
646,93741,DF
647,95301,DF
648,95303,DF
649,95305,DF
650,95306,DF
651,95310,DF
652,95311,DF
653,95312,DF
654,95315,DF
655,95317,DF
656,95318,DF
657,95321,DF
658,95322,DF
659,95324,DF
660,95327,DF
661,95329,DF
662,95333,DF
663,95334,DF
664,95335,DF
665,95338,DF
666,95340,DF
667,95341,DF
668,95345,DF
669,95346,DF
670,95348,DF
671,95365,DF
672,95369,DF
673,95370,DF
674,95372,DF
675,95374,DF
676,95379,DF
677,95383,DF
678,95388,DF
679,95389,DF
680,00016,DFB
681,92328,DFB
682,92347,DFB
683,92384,DFB
684,92389,DFB
685,93203,DFB
686,93205,DFB
687,93206,DFB
688,93215,DFB
689,93222,DFB
690,93224,DFB
691,93225,DFB
692,93226,DFB
693,93238,DFB
694,93240,DFB
695,93241,DFB
696,93243,DFB
697,93249,DFB
698,93250,DFB
699,93251,DFB
700,93252,DFB
701,93254,DFB
702,93255,DFB
703,93263,DFB
704,93268,DFB
705,93276,DFB
706,93280,DFB
707,93283,DFB
708,93285,DFB
709,93287,DFB
710,93301,DFB
711,93304,DFB
712,93305,DFB
713,93306,DFB
714,93307,DFB
715,93308,DFB
716,93309,DFB
717,93311,DFB
718,93312,DFB
719,93313,DFB
720,93314,DFB
721,93453,DFB
722,93461,DFB
723,93501,DFB
724,93505,DFB
725,93512,DFB
726,93513,DFB
727,93514,DFB
728,93516,DFB
729,93518,DFB
730,93519,DFB
731,93523,DFB
732,93524,DFB
733,93526,DFB
734,93527,DFB
735,93528,DFB
736,93531,DFB
737,93545,DFB
738,93546,DFB
739,93549,DFB
740,93554,DFB
741,93555,DFB
742,93558,DFB
743,93560,DFB
744,93561,DFB
745,93562,DFB
746,90680,EA
747,90742,EA
748,90743,EA
749,92602,EA
750,92603,EA
751,92604,EA
752,92606,EA
753,92610,EA
754,92612,EA
755,92614,EA
756,92617,EA
757,92618,EA
758,92620,EA
759,92624,EA
760,92625,EA
761,92626,EA
762,92627,EA
763,92629,EA
764,92630,EA
765,92637,EA
766,92646,EA
767,92647,EA
768,92648,EA
769,92649,EA
770,92651,EA
771,92653,EA
772,92655,EA
773,92656,EA
774,92657,EA
775,92660,EA
776,92661,EA
777,92662,EA
778,92663,EA
779,92672,EA
780,92673,EA
781,92675,EA
782,92676,EA
783,92677,EA
784,92679,EA
785,92683,EA
786,92688,EA
787,92691,EA
788,92692,EA
789,92694,EA
790,92697,EA
791,92701,EA
792,92703,EA
793,92704,EA
794,92705,EA
795,92706,EA
796,92707,EA
797,92708,EA
798,92780,EA
799,92782,EA
800,92801,EA
801,92802,EA
802,92804,EA
803,92805,EA
804,92806,EA
805,92807,EA
806,92808,EA
807,92840,EA
808,92841,EA
809,92843,EA
810,92844,EA
811,92845,EA
812,92861,EA
813,92865,EA
814,92866,EA
815,92867,EA
816,92868,EA
817,92869,EA
818,92870,EA
819,92886,EA
820,92887,EA
821,91739,EH
822,91752,EH
823,91752,EH
824,91759,EH
825,92220,EH
826,92223,EH
827,92301,EH
828,92305,EH
829,92307,EH
830,92308,EH
831,92309,EH
832,92310,EH
833,92311,EH
834,92313,EH
835,92314,EH
836,92315,EH
837,92316,EH
838,92317,EH
839,92318,EH
840,92320,EH
841,92321,EH
842,92322,EH
843,92324,EH
844,92325,EH
845,92327,EH
846,92333,EH
847,92335,EH
848,92336,EH
849,92337,EH
850,92338,EH
851,92339,EH
852,92341,EH
853,92342,EH
854,92344,EH
855,92345,EH
856,92346,EH
857,92350,EH
858,92352,EH
859,92354,EH
860,92356,EH
861,92358,EH
862,92359,EH
863,92364,EH
864,92365,EH
865,92368,EH
866,92371,EH
867,92372,EH
868,92373,EH
869,92374,EH
870,92376,EH
871,92377,EH
872,92378,EH
873,92382,EH
874,92385,EH
875,92386,EH
876,92391,EH
877,92392,EH
878,92394,EH
879,92395,EH
880,92397,EH
881,92398,EH
882,92399,EH
883,92401,EH
884,92404,EH
885,92405,EH
886,92407,EH
887,92408,EH
888,92410,EH
889,92411,EH
890,92415,EH
891,92501,EH
892,92503,EH
893,92504,EH
894,92505,EH
895,92506,EH
896,92507,EH
897,92508,EH
898,92509,EH
899,92518,EH
900,92521,EH
901,92530,EH
902,92532,EH
903,92543,EH
904,92544,EH
905,92545,EH
906,92548,EH
907,92551,EH
908,92553,EH
909,92555,EH
910,92557,EH
911,92562,EH
912,92563,EH
913,92567,EH
914,92570,EH
915,92571,EH
916,92582,EH
917,92583,EH
918,92584,EH
919,92585,EH
920,92586,EH
921,92587,EH
922,92590,EH
923,92591,EH
924,92592,EH
925,92595,EH
926,92596,EH
927,92860,EH
928,92878,EH
929,92879,EH
930,92880,EH
931,92881,EH
932,92882,EH
933,92883,EH
934,92201,EHC
935,92203,EHC
936,92210,EHC
937,92211,EHC
938,92225,EHC
939,92230,EHC
940,92234,EHC
941,92236,EHC
942,92239,EHC
943,92240,EHC
944,92241,EHC
945,92242,EHC
946,92252,EHC
947,92253,EHC
948,92254,EHC
949,92256,EHC
